Order.ID,Sales,Profit,Shipping.Cost,Ship.Mode
130813,28.5,13.9968,5.681,Second Class
148614,28.5,13.9392,1.222,Standard Class
118962,31.5,14.762699999999999,2.353,Standard Class
146969,9.0,4.6655999999999995,1.7160000000000002,Standard Class
117317,19.5,9.878400000000001,3.107,Same Day
125829,28.5,13.9968,1.4949999999999999,Standard Class
151295,18.0,8.790600000000001,1.1960000000000002,Standard Class
135090,81.0,36.328500000000005,9.074000000000002,Standard Class
133830,73.5,34.6296,2.587,Standard Class
113579,135.0,62.26559999999999,11.089,Second Class
116092,19.5,9.6192,1.3,Second Class
121776,55.5,25.9722,5.252000000000001,Standard Class
131534,49.5,24.048000000000002,2.9250000000000003,Standard Class
136987,79.5,36.4044,2.067,Second Class
121965,9.0,4.6655999999999995,0.676,Standard Class
112319,87.0,41.9904,10.374,Standard Class
137708,57.0,27.3168,5.07,Second Class
105347,553.5,271.14885,9.074000000000002,Standard Class
153416,28.5,13.9968,2.184,Standard Class
135545,220.5,103.44465,6.409,Standard Class
158918,25.5,11.556,1.703,Second Class
135580,103.5,47.278800000000004,8.268,Standard Class
119270,30.0,13.4865,1.6900000000000002,Standard Class
131380,9.0,4.395300000000001,2.366,Second Class
130477,30.0,14.428799999999999,3.796,Standard Class
163594,28.5,13.9968,2.301,First Class
115819,34.5,15.336,5.031000000000001,Second Class
111696,27.0,12.1095,4.446,First Class
162733,9.0,4.0365,0.533,First Class
133144,25.5,12.744900000000001,2.366,Second Class
136994,19.5,9.232199999999999,1.1440000000000001,Standard Class
134803,274.5,126.07679999999999,23.309,Standard Class
113243,48.0,23.328,2.483,Standard Class
148593,69.0,32.67675,1.482,Second Class
123512,330.0,161.5824,97.05799999999999,First Class
130029,19.5,9.331199999999999,2.1060000000000003,First Class
135265,73.5,36.705,13.468,Second Class
136021,24.0,11.4219,2.795,Standard Class
167241,57.0,27.0144,5.265,Standard Class
101497,28.5,13.6584,2.457,Second Class
155033,16.5,7.603200000000001,2.0930000000000004,Standard Class
162026,93.0,41.823,3.9000000000000004,Same Day
109365,472.5,226.476,28.794999999999998,Standard Class
158694,102.0,48.7512,14.079,Second Class
149076,232.5,104.5575,11.856,Standard Class
104647,55.5,25.272,4.966,Standard Class
128965,42.0,20.2608,3.6919999999999997,Standard Class
120222,28.5,13.1445,1.9760000000000002,Standard Class
147844,24.0,10.5975,1.209,Standard Class
152002,184.5,90.38295,30.744999999999997,Same Day
112753,58.5,28.576800000000002,6.357,Standard Class
113201,307.5,150.63825,19.474,Standard Class
133718,87.0,41.9904,10.166,First Class
105326,39.0,18.662399999999998,1.651,Standard Class
137498,72.0,34.2144,6.877000000000001,Second Class
109582,249.0,119.8368,14.43,Second Class
121853,316.5,145.6176,20.332,Standard Class
115595,52.5,24.816000000000003,10.127,First Class
110842,28.5,13.9968,1.859,Standard Class
125808,18.0,8.496599999999999,2.223,Second Class
118542,67.5,32.6592,4.628,Standard Class
102099,19.5,9.331199999999999,1.222,First Class
164903,19.5,9.331199999999999,1.482,Standard Class
102652,82.5,39.9456,2.964,Standard Class
113768,12.0,5.76,0.195,Standard Class
146528,9.0,4.7627999999999995,1.0270000000000001,Second Class
104178,39.0,18.662399999999998,4.043,Standard Class
106439,97.5,45.6417,8.736,Standard Class
168305,31.5,14.445,1.1960000000000002,Standard Class
140732,186.0,83.646,35.997,Second Class
163104,18.0,8.790600000000001,1.56,Standard Class
107944,289.5,138.7584,35.503,First Class
138219,49.5,25.02,2.8080000000000003,Standard Class
142601,93.0,41.823,10.894000000000002,Second Class
165554,16.5,7.982099999999999,1.3,Standard Class
161242,18.0,8.643600000000001,1.066,Standard Class
133025,48.0,23.328,9.126,Second Class
132815,34.5,16.875600000000002,4.706,Second Class
153220,24.0,10.5975,4.433000000000001,First Class
125234,171.0,80.2431,11.947,Standard Class
141593,9.0,4.6655999999999995,1.703,Second Class
144890,15.0,7.3206,0.28600000000000003,Standard Class
129238,85.5,41.6745,6.149000000000001,Standard Class
154067,159.0,72.8088,10.543,Standard Class
112942,220.5,110.115,10.504000000000001,Standard Class
159016,22.5,10.728,3.471,First Class
159093,48.0,21.627,1.924,Standard Class
147473,58.5,27.9936,3.653,Standard Class
155971,150.0,70.4295,6.370000000000001,Standard Class
144015,18.0,8.424,3.549,Same Day
126452,72.0,32.076,4.4590000000000005,Standard Class
109806,9.0,4.6655999999999995,0.676,Standard Class
155187,63.0,31.275000000000002,6.903,Second Class
119018,58.5,27.9936,8.658000000000001,Standard Class
152646,48.0,23.328,2.561,Standard Class
103674,19.5,9.6192,1.04,Standard Class
145919,58.5,27.9936,6.526,Standard Class
116729,67.5,32.6592,1.729,First Class
117212,336.0,164.5812,23.309,Second Class
134635,118.5,54.6066,22.75,Second Class
120614,57.0,27.0144,2.1189999999999998,Standard Class
